0.0000,0.0034,0.0170
0.0018,0.0035,0.0170
0.0036,0.0037,0.0171
0.0054,0.0041,0.0171
0.0072,0.0046,0.0172
0.0090,0.0051,0.0172
0.0108,0.0056,0.0173
0.0126,0.0063,0.0172
0.0144,0.0070,0.0171
0.0162,0.0078,0.0170
0.0179,0.0086,0.0168
0.0197,0.0095,0.0166
0.0215,0.0104,0.0164
0.0233,0.0114,0.0161
0.0251,0.0124,0.0158
0.0269,0.0134,0.0155
0.0287,0.0145,0.0152
0.0305,0.0155,0.0148
0.0323,0.0167,0.0145
0.0341,0.0178,0.0141
0.0359,0.0190,0.0137
0.0377,0.0203,0.0134
0.0395,0.0215,0.0130
0.0413,0.0227,0.0126
0.0431,0.0240,0.0122
0.0449,0.0253,0.0118
0.0467,0.0267,0.0114
0.0485,0.0280,0.0110
0.0503,0.0294,0.0106
0.0521,0.0308,0.0102
0.0538,0.0322,0.0099
0.0556,0.0336,0.0095
0.0574,0.0350,0.0091
0.0592,0.0365,0.0088
0.0610,0.0379,0.0084
0.0628,0.0394,0.0081
0.0646,0.0409,0.0078
0.0664,0.0424,0.0075
0.0682,0.0439,0.0073
0.0700,0.0454,0.0070
